ISIN,Delta,Rho,Maturity Standard Macaulay Duration,Maturity Standard Modified Duration,Option Adjusted Duration,Maturity Corp Modified Duration,Maturity Standard Modified Duration,Current Yield,Current Yield To Maturity,Original Yield to Maturity,Maturity Date,Universal Close Price,Volatility
XS2021212332,,,5.004772,4.964689,4.901797,4.98572,4.964689,.46859,.80736,,05.07.2028,106.704,14
XS2250347700,,,4.245879,4.278228,4.282524,4.27967,4.278228,2.1097,-1.51227,,17.11.2027,118.5,14
US55024UAD19,,,3.481124,3.40448,3.40448,3.40448,3.40448,.57401,4.50256,,15.12.2026,87.106,14
FR001400DV38,,,5.110507,5.003835,5.054299,5.05464,5.003835,2.29737,2.13181,,15.11.2028,103.379,14
US25470MAF68,,,2.519444,2.211176,2.211176,2.21118,2.211176,0,27.88275,,15.12.2025,51.807,14
XS1872028177,,,.241667,.224542,.234949,.23741,.224542,0,7.62631,,05.09.2023,112.612,14
XS2295233501,,,,,,,,,,,01.03.2024,97.1875,14
DE000A289DA3,,,1.917402,1.797425,1.797425,1.85765,1.797425,.83689,6.67491,,13.05.2025,89.617,14
XS2286418046,,,1.641667,1.656126,1.656126,1.64888,1.656126,0,-.87307,,29.01.2025,101.45,14
XS1873180415,,,.263889,.262133,.262133,.26342,.262133,0,.66977,,13.09.2023,99.824,14
XS2307769203,,,1.777778,1.787756,1.787756,1.78276,1.787756,0,-.55814,,18.03.2025,101,14
XS2220527001,,,,,,,,,,,26.08.2023,98.5,14
US163092AD18,,,1.767423,1.709489,1.709489,1.70949,1.709489,.14032,6.77785,,15.03.2025,89.0796,14
FR0013457942,,,1.413699,1.295458,1.295458,1.3507,1.295458,0,9.12729,,06.11.2024,88.384,14
XS2127864622,,,,,,,,,,,20.01.2026,101.625,14
US753422AD66,,,1.865112,1.869891,1.869891,1.86989,1.869891,2.13734,-.51115,,01.05.2025,105.271,14
CH0413990240,,,1.990386,2.324745,2.324745,2.15108,2.324745,.10979,-14.3826,,05.06.2025,136.621,14
XS2090962775,,,,,,,,,,,17.12.2024,99.5566,14
